date,inclination_deg,clear_sky_peak_wm2,clear_sky_daily_kwh_m2
2013-02-01,5,594.686,3.53372
2013-02-02,5,599.403,3.57437
2013-02-03,5,604.179,3.61572
2013-02-04,5,609.01,3.65775
2013-02-05,5,613.892,3.70044
2013-02-06,5,618.823,3.74377
2013-02-07,5,623.799,3.78771
2013-02-08,5,628.817,3.83224
2013-02-09,5,633.873,3.87735
2013-02-10,5,638.964,3.923
2013-02-11,5,644.087,3.96917
2013-02-12,5,649.238,4.01585
2013-02-13,5,654.415,4.063
2013-02-14,5,659.613,4.11062
2013-02-15,5,665.563,4.16494
2013-02-16,5,671.527,4.21972
2013-02-17,5,677.502,4.27493
2013-02-18,5,683.486,4.33055
2013-02-19,5,689.475,4.38656
2013-02-20,5,695.466,4.44292
2013-02-21,5,701.456,4.49963
2013-02-22,5,707.449,4.55664
2013-02-23,5,713.444,4.61396
2013-02-24,5,719.43,4.67155
2013-02-25,5,725.406,4.72938
2013-02-26,5,731.367,4.78744
2013-02-27,5,737.312,4.8457
2013-02-28,5,743.237,4.90415
2013-03-01,5,749.141,4.96275
2013-03-02,5,755.02,5.0215
2013-03-03,5,760.873,5.08037
2013-03-04,5,766.696,5.13933
2013-03-05,5,772.488,5.19837
2013-03-06,5,778.246,5.25746
2013-03-07,5,783.967,5.31657
2013-03-08,5,789.649,5.37569
2013-03-09,5,795.291,5.4348
2013-03-10,5,800.889,5.49387
2013-03-11,5,806.441,5.55288
2013-03-12,5,811.947,5.61181
2013-03-13,5,817.403,5.67063
2013-03-14,5,822.808,5.72934
2013-03-15,5,828.166,5.78791
2013-03-16,5,833.03,5.84186
2013-03-17,5,837.378,5.89114
2013-03-18,5,841.671,5.94019
2013-03-19,5,845.908,5.98899
2013-03-20,5,850.088,6.03754
2013-03-21,5,854.209,6.08581
2013-03-22,5,858.27,6.13379
2013-03-23,5,862.269,6.18146
2013-03-24,5,866.206,6.2288
2013-03-25,5,870.08,6.2758
2013-03-26,5,873.89,6.32245
2013-03-27,5,877.635,6.36875
2013-03-28,5,881.315,6.41466
2013-03-29,5,884.928,6.46018
2013-03-30,5,888.474,6.50531
2013-03-31,5,891.953,6.55001
2013-04-01,5,895.38,6.59429
2013-04-02,5,898.75,6.63814
2013-04-03,5,902.051,6.68153
2013-04-04,5,905.283,6.72447
2013-04-05,5,908.444,6.76693
2013-04-06,5,911.536,6.8089
2013-04-07,5,914.556,6.85037
2013-04-08,5,917.507,6.89135
2013-04-09,5,920.386,6.93181
2013-04-10,5,923.195,6.97174
2013-04-11,5,925.932,7.01114
2013-04-12,5,928.599,7.04999
2013-04-13,5,931.196,7.08828
2013-04-14,5,933.722,7.12603
2013-04-15,5,936.178,7.16321
2013-04-16,5,938.762,7.20187
2013-04-17,5,941.275,7.23995
2013-04-18,5,943.719,7.27744
2013-04-19,5,946.093,7.31434
2013-04-20,5,948.412,7.35065
2013-04-21,5,950.668,7.38636
2013-04-22,5,952.855,7.42145
2013-04-23,5,954.975,7.45594
2013-04-24,5,957.028,7.4898
2013-04-25,5,959.014,7.52304
2013-04-26,5,960.935,7.55567
2013-04-27,5,962.791,7.58767
2013-04-28,5,964.583,7.61905
2013-04-29,5,966.312,7.64979
2013-04-30,5,967.978,7.67989
2013-05-01,5,969.583,7.70935
2013-05-02,5,971.127,7.73818
2013-05-03,5,972.612,7.76637
2013-05-04,5,974.037,7.79391
2013-05-05,5,975.405,7.82079
