system_id,metric,min_value,max_value
1,irr_cell,25,1500
1,temp_ambient,-17.4,50
1,temp_module,-8.0,70
1,idc_a,0,8.6
1,vdc_v,0,288.4
1,pac_w,0,1632.4
2,irr_cell,25,1500
2,irr_pyranometer,25,1500
2,temp_ambient,-17.4,50
2,temp_module,-8.0,70
2,idc_a,0,12.3
2,vdc_v,0,207.9
2,pac_w,0,2210
3,irr_cell,25,1500
3,irr_pyranometer,25,1500
3,temp_ambient,-17.4,50
3,temp_module,-8.0,70
3,idc_a,0,9.04
3,vdc_v,0,291.2
3,pac_w,0,2210
4,irr_cell,25,1500
4,temp_ambient,-17.4,50
4,temp_module,-8.0,70
4,idc_a,0,8.22
4,vdc_v,0,286.0
4,pac_w,0,1632.4
5,irr_cell,25,1500
5,temp_ambient,-17.4,50
5,temp_module,-8.0,70
5,idc_a,0,8.12
5,vdc_v,0,270.5
5,pac_w,0,1632.4
6,irr_cell,25,1500
6,temp_ambient,-17.4,50
6,temp_module,-8.0,70
6,idc_a,0,8.6
6,vdc_v,0,288.4
6,pac_w,0,1632.4
7,irr_cell,25,1500
7,temp_ambient,-17.4,50
7,temp_module,-8.0,70
7,idc_a,0,8.05
7,vdc_v,0,267.5
7,pac_w,0,1632.4
8,irr_cell,25,1500
8,irr_pyranometer,25,1500
8,temp_ambient,-17.4,50
8,temp_module,-8.0,70
8,idc_a,0,6.72
8,vdc_v,0,389.9
8,pac_w,0,2210
9,irr_cell,25,1500
9,irr_pyranometer,25,1500
9,temp_ambient,-17.4,50
9,temp_module,-8.0,70
9,idc_a,0,5.54
9,vdc_v,0,344.3
9,pac_w,0,2210
10,irr_cell,25,1500
10,irr_pyranometer,25,1500
10,temp_ambient,-17.4,50
10,temp_module,-8.0,70
10,idc_a,0,9.25
10,vdc_v,0,268.3
10,pac_w,0,2210
11,irr_cell,25,1500
11,irr_pyranometer,25,1500
11,temp_ambient,-17.4,50
11,temp_module,-8.0,70
11,idc_a,0,12.3
11,vdc_v,0,212.1
11,pac_w,0,2210
12,irr_cell,25,1500
12,irr_pyranometer,25,1500
12,temp_ambient,-17.4,50
12,temp_module,-8.0,70
12,idc_a,0,10.78
12,vdc_v,0,548.5
12,pac_w,0,5880
13,irr_cell,25,1500
13,temp_ambient,-17.4,50
13,temp_module,-8.0,70
13,idc_a,0,16.69
13,vdc_v,0,430.1
13,pac_w,0,5100.5
